"Date","Source","Site ID","POC","Daily Mean Pb Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/10/2012","AQS","060070002","7","0.0037","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"01/22/2012","AQS","060070002","7","0.0007","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"02/03/2012","AQS","060070002","7","0.0023","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"02/15/2012","AQS","060070002","7","0.0007","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"02/27/2012","AQS","060070002","7","0.0021","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"03/10/2012","AQS","060070002","7","0.0026","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"03/22/2012","AQS","060070002","7","0.0007","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"04/03/2012","AQS","060070002","7","0.0007","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"04/15/2012","AQS","060070002","7","0.0007","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"04/27/2012","AQS","060070002","7","0.0007","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"05/09/2012","AQS","060070002","7","0.0023","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"05/21/2012","AQS","060070002","7","0.0021","ug/m3 SC",".","Chico-Manzanita Ave.","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.757371488392","-121.843286344899"
"06/06/2012","AQS","060070008","7","0.0007","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"06/14/2012","AQS","060070008","7","0.0007","ug/m3 SC",".","Chico-East Avenue","1","100.0000","12128","Lead (TSP) STP","305","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
