"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/06/2007","AQS","060010007","1","21","ug/m3 SC","19","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/12/2007","AQS","060010007","1","10","ug/m3 SC","9","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/18/2007","AQS","060010007","1","21","ug/m3 SC","19","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/24/2007","AQS","060010007","1","71","ug/m3 SC","59","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/30/2007","AQS","060010007","1","27","ug/m3 SC","25","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/05/2007","AQS","060010007","1","63","ug/m3 SC","55","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/11/2007","AQS","060010007","1","8","ug/m3 SC","7","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/17/2007","AQS","060010007","1","12","ug/m3 SC","11","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/23/2007","AQS","060010007","1","7","ug/m3 SC","6","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/01/2007","AQS","060010007","1","15","ug/m3 SC","14","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/07/2007","AQS","060010007","1","16","ug/m3 SC","15","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/13/2007","AQS","060010007","1","20","ug/m3 SC","19","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/19/2007","AQS","060010007","1","10","ug/m3 SC","9","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/25/2007","AQS","060010007","1","3","ug/m3 SC","3","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/31/2007","AQS","060010007","1","17","ug/m3 SC","16","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"04/06/2007","AQS","060010007","1","11","ug/m3 SC","10","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"04/12/2007","AQS","060010007","1","11","ug/m3 SC","10","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"04/18/2007","AQS","060010007","1","10","ug/m3 SC","9","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"04/24/2007","AQS","060010007","1","15","ug/m3 SC","14","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"04/30/2007","AQS","060010007","1","25","ug/m3 SC","23","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"05/06/2007","AQS","060010007","1","18","ug/m3 SC","17","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"05/12/2007","AQS","060010007","1","16","ug/m3 SC","15","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"05/18/2007","AQS","060010007","1","16","ug/m3 SC","15","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"05/24/2007","AQS","060010007","1","25","ug/m3 SC","23","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"05/30/2007","AQS","060010007","1","16","ug/m3 SC","15","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"06/05/2007","AQS","060010007","1","14","ug/m3 SC","13","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"06/11/2007","AQS","060010007","1","24","ug/m3 SC","22","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"06/17/2007","AQS","060010007","1","25","ug/m3 SC","23","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"06/23/2007","AQS","060010007","1","20","ug/m3 SC","19","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"06/29/2007","AQS","060010007","1","9","ug/m3 SC","8","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"07/05/2007","AQS","060010007","1","33","ug/m3 SC","31","Livermore","1","100.0000","81102","PM10 Total 0-10um STP","063","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
